side_effects,count
"or liver problems--upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of ofloxacin may include: nausea, constipation , diarrhea",1
"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: Rare Blistering, peeling, or loosening of the skin chills cough diarrhea difficulty with swallowing dizziness fast heartbeat hives or welts, skin rash joint or muscle pain puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue red, irritated eyes red skin lesions, often with a purple center redness of the skin sore throat sores, ulcers, or white spots in the mouth or on the lips tightness in the chest unusual tiredness or weakness Incidence not known Bloating bloody or cloudy urine chest pain or discomfort dark urine diarrhea, watery and severe, which may also be bloody fainting fever general tiredness and weakness greatly decreased frequency of urination or amount of urine hearing loss increased thirst irregular heartbeat recurrent irregular or slow heart rate light-colored stools nausea pain stomach cramp or tenderness swelling of the feet or lower legs unusual weight loss upper right abdominal or stomach pain vomiting yellow eyes and skin Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Incidence not known Diarrhea (mild) loss of appetite weight loss Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. PCE Dispertab side effects",1
"swelling of your face, lips, tongue, or throat. Common side effects of Scot-Tussin may include: nausea",1
"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: More common Black, tarry stools blistering, peeling, or loosening of the skin changes in skin color chest pain or tightness chills clay-colored stools cough or hoarseness dark urine diarrhea dizziness fever general feeling of tiredness or weakness headache itching, skin rash joint or muscle pain light-colored stools loss of appetite lower back or side pain nausea pain, tenderness, or swelling of the foot or leg painful or difficult urination pale skin red skin lesions, often with a purple center red, irritated eyes sore throat sores, ulcers, or white spots in the mouth or on the lips stomach pain swollen or painful glands trouble breathing unpleasant breath odor unusual bleeding or bruising vomiting of blood yellow eyes or skin Incidence not known Back, leg, or stomach pains bleeding gums blindness or vision changes bloating blood in the urine or stools bluish-colored lips, fingernails, or palms burning, crawling, itching, numbness, painful, prickling, ""pins and needles"", or tingling feelings burning of the face or mouth cloudy urine clumsiness or unsteadiness confusion constipation continuing ringing or buzzing or other unexplained noise in the ears cracks in the skin decreased frequency or amount of urine difficulty with swallowing fainting spells fast, pounding, or irregular heartbeat or pulse general body swelling general feeling of discomfort or illness hair loss hearing loss hives increased thirst indigestion large, flat, blue, or purplish patches in the skin large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs loss of heat from the body muscle or joint pain nosebleeds not able to pass urine numbness or tingling in the hands, feet, or lips pain or burning while urinating pinpoint red spots on the skin puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue raised red swellings on the skin, the buttocks, legs, or ankles redness of the white part of the eyes redness, swelling, or soreness of the tongue seizures soreness of the muscles stiff neck or back stomach tenderness swelling of the face, hands, legs, and feet unsteadiness, trembling, or other problems with muscle control or coordination weakness in the hands or feet weakness or heaviness of the legs weight gain or loss Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: More common Passing of gas Incidence not known Discouragement feeling of constant movement of self or surroundings feeling sad or empty increased sensitivity of the skin to sunlight lack of feeling or emotion loss of interest or pleasure muscle pain, stiffness, cramps, or spasms nervousness redness or other discoloration of the skin seeing, hearing, or feeling things that are not there sensation of spinning severe sunburn trouble concentrating trouble sleeping uncaring weight loss Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Sulfatrim Pediatric side effects",1
"swelling of your face, lips, tongue, or throat. Common side effects of Tussin Expectorant may include: nausea",1
"swelling of your face, lips, tongue, or throat. Common side effects of Xpect may include: nausea",1
"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: More common Black, tarry stools chest pain chills cough fever painful or difficult urination shortness of breath sore throat sores, ulcers, or white spots on lips or in mouth swollen glands unusual bleeding or bruising unusual tiredness or weakness Less common Abdominal or stomach cramps abdominal or stomach tenderness or pain bloating bluish color or changes in skin color diarrhea, watery and severe, which may also be bloody difficulty in breathing or swallowing, wheezing, shortness of breath fast heartbeat fever hives or welts increased thirst muscle spasm or jerking of all extremities nausea or vomiting pain skin itching, rash, or redness sudden loss of consciousness swelling of face, throat, or tongue swelling of foot or leg tenderness unusual weight loss Rare Blistering, peeling, loosening of skin bloody or cloudy urine dizziness fast heartbeat greatly decreased frequency of urination or amount of urine hearing loss, mild to moderate joint or muscle pain puffiness or swelling of the eyelids or around the eyes, face, lips or tongue red or irritated eyes redness, tenderness, itching, burning, or peeling of skin red skin lesions, often with a purple center sore throat tightness in chest Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: More common Gas loss of appetite Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Zinacef side effects",1
"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor or nurse immediately if any of the following side effects occur: Rare Black, tarry stools bleeding gums bleeding, blistering, burning, coldness, discoloration of the skin, feeling of pressure, hives, infection, inflammation, itching, lumps, numbness, pain, rash, redness, scarring, soreness, stinging, swelling, tenderness, tingling, ulceration, or warmth at the injection site blisters bloating or swelling of the face, arms, hands, lower legs, or feet blood in the urine or stools blurred vision bone pain burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings chest pain chills clay-colored stools cough crying dark urine deep or fast breathing with dizziness diarrhea, watery and severe, which may also be bloody difficult or labored breathing difficulty with moving difficulty with swallowing discouragement dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position dry mouth excessive muscle tone fainting fast, irregular, pounding, or racing heartbeat or pulse feeling of unreality feeling of warmth or heat feeling sad or empty fever flushed, dry skin flushing or redness of the skin, especially on the face and neck fruit-like breath odor headache increased hunger increased sensitivity of the skin to sunlight increased thirst increased urination irregular heartbeat, recurrent irritability joint pain, stiffness, or swelling lack of coordination loss of appetite loss of interest or pleasure lower back, side, or stomach pain mood or mental changes muscle cramps, pains, stiffness, tension, or tightness nausea nervousness noisy breathing numbness of the feet, hands, and around the mouth pain in the pelvis pain, warmth, or burning in the fingers, toes, and legs painful or difficult urination painful, swollen joints pale skin pinpoint red spots on the skin pounding in the ears problems with speech or speaking problems with vision or hearing quick to react or overreact emotionally rapid weight gain rapidly changing moods redness or other discoloration of the skin restlessness seeing, hearing, or feeling things that are not there seizures sensation of the skin burning sense of detachment from self or body severe sunburn shakiness in the legs, arms, hands, or feet skin rash or itching sore throat sores, ulcers, or white spots on the lips or in the mouth stomach cramps or tenderness sweating swelling of the feet or lower legs swelling or puffiness of the face swollen glands thick, white vaginal discharge with no odor or with a mild odor tightness in the chest tingling of the hands or feet trouble concentrating trouble sleeping troubled breathing with exertion unexplained weight loss unpleasant breath odor unusual bleeding or bruising unusual tiredness or weakness unusual weight gain or loss vomiting vomiting of blood white patches in the mouth or on the tongue yellow eyes or skin Incidence not known Blistering, peeling, or loosening of the skin burning, numbness, tingling, or painful sensations change in the ability to see colors, especially blue or yellow confusion as to time, place, or person difficulty with chewing or talking double vision drooping eyelids eye pain general feeling of tiredness or weakness hives hoarseness irregular or slow heart rate large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals light-colored stools loss of consciousness muscle weakness no blood pressure or pulse puffiness or swelling of the eyelids or around the eyes, face, lips or tongue red, irritated eyes red skin lesions, often with a purple center severe headache severe tiredness stomach pain, continuing stopping of the heart unsteadiness or awkwardness unusual excitement, nervousness, or restlessness weakness in the arms, hands, legs, or feet Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Rare Bad, unusual, or unpleasant (after) taste belching burning feeling in the chest or stomach change in sense of smell change in taste changes in vision continuing ringing or buzzing or other unexplained noise in the ears difficulty having a bowel movement excess air or gas in the stomach or bowels fear or nervousness feeling of constant movement of self or surroundings full feeling general feeling of discomfort or illness hearing loss heartburn impaired vision indigestion itching of the vagina or genital area lack or loss of strength loss of memory pain during sexual intercourse passing of gas problems with memory redness, swelling, or soreness of the tongue sensation of spinning sleepiness or unusual drowsiness sore mouth or tongue stomach discomfort, upset, or pain Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Avelox I.V. side effects",1
"hives , numbness or tingling",1
"weakness, feeling light-headed",1
"swelling of your face, lips, tongue, or throat. Cefaclor may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody",1
"fever, swollen glands, rash or itching, joint pain, or general ill feeling",1
"easy bruising or bleeding, severe tingling, numbness, pain, muscle weakness",1
"or severe skin reaction--fever, sore throat , swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling. Common side effects of cefaclor may include: diarrhea",1
"swelling of your face, lips, tongue, or throat. Imipenem and cilastatin may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody",1
"or a light-headed feeling, like you might pass out. Common side effects of imipenem and cilastatin may include: pain, swelling, redness, bruising, or hardening where the medicine was injected",1
"swelling of your face, lips, tongue, or throat. Dycill may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody",1
"or fever, swollen glands, rash or itching, joint pain, or general ill feeling. Common side effects of Dycill may include: heartburn, nausea, vomiting, diarrhea",1
"swelling of your face, lips, tongue, or throat. Dynapen may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody",1
"or fever, swollen glands, rash or itching, joint pain, or general ill feeling. Common side effects of Dynapen may include: heartburn, nausea, vomiting, diarrhea",1
"or signs of tendon rupture--sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions). In rare cases, Factive may cause damage to your aorta, the main blood artery of the body. This could lead to dangerous bleeding or death. Get emergency medical help if you have severe and constant pain in your chest, stomach, or back. Also, stop using Factive and call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody",1
"or increased pressure inside the skull--severe headaches, ringing in your ears, vision problems, pain behind your eyes. Common side effects of Factive may include: nausea, vomiting , stomach pain, diarrhea",1
"swelling of your face, lips, tongue, or throat. Primaxin IV may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody",1
"or a light-headed feeling, like you might pass out. Common side effects of Primaxin IV may include: pain, swelling, redness, bruising, or hardening where the medicine was injected",1
"Carboplatin may cause unwanted effects, particularly because carboplatin interferes with the growth of normal cells as well as cancer cells. For example, the occurrence of another cancer (secondary malignancy) has been reported in patients receiving cancer chemotherapy with multiple drugs. It is not always possible to tell whether such effects are caused by carboplatin, another drug you may be taking, or your illness. Because some of these effects may be serious, you will need close medical supervision during treatment with carboplatin. The most serious side effects of carboplatin are: bleeding and reduced blood cells, including reduced red blood cells (anemia) and platelets (needed for proper blood clotting), which may be severe enough to require blood transfusion. You should tell your doctor right away if you notice any unusual bruising or bleeding, including black tarry stools or blood in the urine. infection – carboplatin can temporarily lower the number of white blood cells in your blood, increasing the risk of infection",1
life-threatening allergic reaction – during and after treatment the doctor or nurse will observe you carefully for signs of allergic reaction,1
kidney and liver problems,1
loss of hearing or ringing in the ears,1
"Contact your doctor right away if you experience any of these effects, or notice effects that worry you or are troublesome. Of the less serious side effects associated with carboplatin treatment, the most common are nausea, vomiting, diarrhea, loss of appetite, hair loss and numbness, tingling, burning, or pain in the hands and feet. Carboplatin side effects",1
an unusual mass or lump,1
severe vomiting or diarrhea,1
"liver problems--loss of appetite, stomach pain (upper right side), dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes)",1
"or low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of Leukeran may include: bone marrow suppression",1
or sores or white patches in or around your mouth.,1
"What are the serious (bad) side effects of chlorambucil? Allergic Reactions: You should immediately get emergency medical help if you have signs of: allergic reaction (difficulty breathing, swelling in your face or throat, hives ) or a severe skin reaction (fever, sore throat , burning eyes, skin pain, red or purple skin rash with blistering and peeling). Other serious (bad) side effects: You should call your doctor at once if you have: a seizure any unusual lump or mass, severe diarrhea or vomiting, a cough that is new or worsening, signs of bone marrow suppression eg. dizziness , feeling tired or short of breath, pale lips or fingernail beds, fast heart rate , signs of liver problems eg. low appetite, pain in the upper right side of stomach, dark urine, clay-colored stools, yellowing of the skin or eyes, or signs of low blood cell counts eg. high body temperature, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. What are the common side effects of chlorambucil? nausea, vomiting or diarrhea, white patches or sores in or around your mouth, bone marrow suppression, low blood cell counts, missed menstrual periods in women.",1
"swelling of your face, lips, tongue, or throat. Fluorouracil may cause serious side effects. Call your doctor at once if you have: fever (take your temperature each day while receiving fluorouracil)",1
severe or ongoing diarrhea,1
"confusion, problems with balance or muscle movement",1
"painful mouth sores, red or swollen gums, trouble swallowing, talking, or eating",1
"""hand and foot syndrome""--pain, blisters, bleeding, or severe rash on the palms of your hands or the soles of your feet",1
"heart problems--chest pain or pressure, pain spreading to your jaw or shoulder, irregular heartbeats, nausea , sweating, feeling dizzy or short of breath. Your cancer treatments may be delayed or permanently discontinued if you have certain side effects. Common side effects of fluorouracil may include: diarrhea",1
heart problems,1
or bone marrow suppression.,1
"swelling of your face, lips, tongue, or throat. Some side effects may occur during the injection. Tell your caregiver right away if you feel dizzy, nauseated, light-headed, sweaty, or have a headache , chest tightness, back pain , trouble breathing, or swelling in your face. Doxorubicin may cause serious side effects. Call your doctor at once if you have: pain, blisters, or skin sores where the injection was given",1
"low white blood cell counts--fever, swollen gums, painful mouth sores, pain when swallowing, skin sores, cold or flu symptoms, cough, trouble breathing",1
"or signs of heart problems--fast heartbeats, shortness of breath (even with mild exertion), feeling very weak or tired, swelling in your ankles or feet. Doxorubicin may cause your urine to turn a reddish-orange color. This side effect is usually not harmful. Common side effects of doxorubicin may include: nausea, vomiting",1
"or low white blood cell counts--fever, mouth sores, skin sores, sore throat, cough, trouble breathing. Common side effects of etoposide may include: sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste",1
"new worsening cough, shortness of breath, trouble breathing while lying down",1
"pink or red urine, pain or burning when you urinate",1
"heart problems--swelling, rapid weight gain, pounding heartbeats or fluttering in your chest",1
"liver problems--loss of appetite, stomach pain (upper right side), bloating , dark urine, jaundice (yellowing of the skin or eyes)",1
"low sodium level-- headache , confusion, slurred speech, severe weakness, vomiting , loss of coordination, feeling unsteady",1
"or low blood cell counts--fever, chills, tiredness, blisters or ulcers in your mouth, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of cyclophosphamide may include: fever, low blood cell counts",1
or missed menstrual periods.,1
"swelling of your face, lips, tongue, or throat. Vincristine may cause serious side effects. Call your doctor at once if you have: severe constipation, severe bloating or stomach pain, bloody or tarry stools",1
"or low blood cell counts--fever, chills, sore throat , body aches, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of vincristine may include: hair loss",1
decreased weight with loss of muscle tissue,1
"nausea , vomiting , diarrhea , weight loss",1
"or low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of Cosmegen may include: hair loss",1
"pain, burning, irritation, or skin changes where the injection was given",1
severe nausea and vomiting,1
"or low white blood cell counts--fever, mouth sores, skin sores, sore throat, cough, trouble breathing. Common side effects of Etopophos may include: nausea , vomiting",1
or unusual or unpleasant taste in the mouth.,1
or a wound that will not heal. Common side effects of Ifex may include: nausea and vomiting,1
severe ongoing nausea or vomiting,1
or a seizure (convulsions). Common side effects of Toposar may include: low white blood cell counts.,1
"swelling of your face, lips, tongue, or throat. Vinblastine may cause serious side effects. Call your doctor at once if you have: wheezing, trouble breathing",1
ongoing nausea or vomiting,1
"or low blood cell counts--fever, chills, sore throat , body aches, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of vinblastine may include: low blood cell counts",1
"jaw pain, tumor pain, bone pain",1
"swelling of your face, lips, tongue, or throat. Hycamtin may cause serious side effects. Call your doctor at once if you have: new or worsening cough, fever, trouble breathing",1
"or low blood cell counts--fever, chills, flu-like symptoms, mouth sores, skin sores, pale skin, cold hands and feet, bruising or bleeding, feeling light-headed. Your cancer treatments may be delayed or permanently discontinued if you have certain side effects. Common side effects of Hycamtin may include: low blood cell counts",1
or a wound that will not heal. Common side effects of ifosfamide may include: nausea and vomiting,1
"or low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of dactinomycin may include: hair loss",1
"damage to red blood cells--confusion, weakness, pale or yellowed skin, dark colored urine",1
"or signs of tumor cell breakdown--tiredness, weakness, muscle cramps, lower back pain , nausea , vomiting , diarrhea , blood in your urine, fast or slow heart rate , tingling in your hands and feet or around your mouth. Common side effects of fludarabine may include: low blood cell counts",1
"nausea, loss of appetite, vomiting, diarrhea",1
"swelling of your face, lips, tongue, or throat. Tepadina may cause serious side effects. Call your doctor at once if you have: sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste",1
"or liver problems--rapid weight gain, stomach pain and bloating , dark urine, jaundice (yellowing of the skin or eyes). Common side effects of Tepadina may include: low blood cell counts",1
"swelling of your face, lips, tongue, or throat. Thiotepa may cause serious side effects. Call your doctor at once if you have: sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste",1
"or liver problems--rapid weight gain, stomach pain and bloating , dark urine, jaundice (yellowing of the skin or eyes). Common side effects of thiotepa may include: low blood cell counts",1
"swelling of your face, lips, tongue, or throat. Topotecan may cause serious side effects. Call your doctor at once if you have: new or worsening cough, fever, trouble breathing",1
"or low blood cell counts--fever, chills, flu-like symptoms, mouth sores, skin sores, pale skin, cold hands and feet, bruising or bleeding, feeling light-headed. Your cancer treatments may be delayed or permanently discontinued if you have certain side effects. Common side effects of topotecan may include: low blood cell counts",1
"swelling of your face, lips, tongue, or throat. In rare cases, atorvastatin can cause a condition that results in the breakdown of skeletal muscle tissue, potentially leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark colored urine. Atorvastatin may cause serious side effects. Call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back trouble lifting your arms, trouble climbing or standing",1
"liver problems - upper stomach pain, weakness, tired feeling, loss of appetite, dark urine, jaundice (yellowing of the skin or eyes)",1
"or kidney problems - little or no urinating, swelling in your feet or ankles, feeling tired or short of breath. Common side effects of atorvastatin may include: joint pain",1
signs of a kidney problem - little or no urinating,1
"or liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common simvastatin side effects may include: headache",1
"swelling of your face, lips, tongue, or throat. In rare cases, Lipitor can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark colored urine. Also call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back",1
"upper stomach pain, weakness, tired feeling, loss of appetite, dark urine, yellowing of the skin or eyes (signs of liver problems)",1
"or little or no urinating, swelling in your feet or ankles, feeling tired or short of breath (signs of kidney problems). Common Lipitor side effects may include: joint pain",1
"swelling of your face, lips, tongue, or throat. Zetia can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark urine. Side effects may be more likely in older adults. Common side effects of Zetia may include: diarrhea",1
or muscle pain while taking Zetia with a statin.,1
"swelling of your face, lips, tongue, or throat. Ezetimibe can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark urine. Side effects may be more likely in older adults. Common ezetimibe side effects may include: diarrhea",1
or muscle pain while taking ezetimibe with a statin.,1
"swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: unexplained muscle pain, tenderness, or weakness",1
"or liver problems - upper stomach pain, tiredness, loss of appetite, dark urine, jaundice (yellowing of the skin or eyes). Common side effects may include: headache",1
"or nausea, stomach pain.",1
"hives, severe itching",1
"swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor. Common Repatha side effects may include: redness, pain, or bruising where an injection was given",1
"swelling of your face, lips, tongue, or throat. Common alirocumab side effects may include: redness, itching, soreness, or swelling where an injection was given",1
"Evolocumab can cause serious side effects including: Serious Allergic Reactions . Some people taking evolocumab have had serious allergic reactions. Stop taking evolocumab and call your healthcare provider or seek emergency medical help right away if you or your child have any of these symptoms: trouble breathing or swallowing raised bumps (hives) rash, or itching swelling of the face, lips, tongue, throat or arms The most common side effects of evolocumab include: runny nose, sore throat, symptoms of the common cold, flu or flu-like symptoms, back pain, high blood sugar levels (diabetes) and redness, pain, or bruising at the injection site. Tell your healthcare provider if you or your child have any side effect that bothers you or that does not go away. These are not all the possible side effects of evolocumab. Ask your healthcare provider or pharmacist for more information. Call your healthcare provider for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Evolocumab side effects",1
"swelling of your face, lips, tongue, or throat. Common Praluent side effects may include: redness, itching, soreness, or swelling where an injection was given",1
"Serious side effects of rosuvastatin include: Muscle pain, tenderness and weakness (myopathy). Muscle problems, including muscle breakdown, can be serious in some people and rarely cause kidney damage that can lead to death. Tell your doctor right away if: you have unexplained muscle pain, tenderness, or weakness, especially if you have a fever or feel more tired than usual, while you take this medication. you have muscle problems that do not go away even after your doctor has told you to stop taking this medication. Your doctor may do further tests to diagnose the cause of your muscle problems. Your chances of getting muscle problems are higher if you: are taking certain other medicines while you take rosuvastatin are 65 years of age or older have thyroid problems (hypothyroidism) that are not controlled have kidney problems are taking higher doses of this medication Liver problems. Your doctor should do blood tests to check your liver before you start taking this medication and if you have symptoms of liver problems while you taking it. Call your doctor right away if you have any of the following symptoms of liver problems: feel unusually tired or weak loss of appetite upper belly pain dark urine yellowing of your skin or the whites of your eyes The most common side effects of rosuvastain may include: headache muscle aches and pains abdominal pain weakness nausea Additional side effects that have been reported with rosuvastatin include memory loss and confusion. Tell your doctor if you have any side effect that bothers you or that does not go away. These are not all the possible side effects. For more information, ask your doctor or pharmacist. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Rosuvastatin side effects",1
"swelling of your face, lips, tongue, or throat. In rare cases, pravastatin can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Call your doctor right away if you have: muscle weakness in your hips, shoulders, neck, and back",1
"or liver problems - loss of appetite, stomach pain (upper right side), tiredness, dark urine, jaundice (yellowing of the skin or eyes). Common pravastatin side effects may include: muscle or joint pain",1
"swelling of your face, lips, tongue, or throat. Lovastatin can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Also call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back",1
"or liver problems--loss of appetite, stomach pain (upper right side), tiredness, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of lovastatin may include: infections",1
"(hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). Simvastatin can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark urine. Also call your doctor at once if you have: signs of a kidney problem - little or no urinating",1
"or liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common Zocor side effects may include: headache",1
"swelling of your face, lips, tongue, or throat. In rare cases, gemfibrozil can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure . Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark colored urine. Also call your doctor at once if you have: sharp pain in your upper stomach (especially after eating)",1
"or low blood cell counts - pale skin, easy bruising, unusual bleeding, unusual tiredness, feeling light-headed or short of breath, cold hands and feet. Common gemfibrozil side effects may include: stomach pain, indigestion , diarrhea",1
"swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: unexplained muscle pain, tenderness, or weakness",1
or jaundice (yellowing of the skin or eyes). Common Vytorin side effects may include: headache,1
"swelling of your face, lips, tongue, or throat. In rare cases, Livalo can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark urine. Also call your doctor at once if you have: confusion, memory problems",1
"kidney problems - vomiting, pain in your side or lower back, little or no urinating, swelling, rapid weight gain",1
"or liver problems - loss of appetite, stomach pain (upper right side), tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common Livalo side effects may include: muscle pain",1
"or diarrhea, constipation.",1
"swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: heart attack symptoms - chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating",1
"unexplained muscle pain, tenderness or weakness",1
severe warmth or redness under your skin,1
"or jaundice (yellowing of the skin or eyes). Common niacin side effects may include: flushing (sudden warmth, redness, or tingly feeling)",1
"upset stomach , nausea, vomiting , diarrhea",1
"itching, rash, dry skin",1
skin discoloration,1
"swelling of your face, lips, tongue, or throat. Stop using Altocor and call your doctor at once if you have any of these serious side effects: muscle pain, tenderness, or weakness with fever or flu symptoms and dark colored urine. Less serious side effects may include: mild stomach pain, gas, bloating, stomach upset, heartburn",1
"swelling of your face, lips, tongue, or throat. Call your doctor at once if you have any of these serious side effects: feeling like you might pass out",1
"fast, pounding, or uneven heart beats",1
"or muscle pain, tenderness, or weakness with fever or flu symptoms and dark colored urine. If you are diabetic, tell your doctor about any changes in your blood sugar levels. Less serious Niaspan ER side effects include: mild dizziness",1
"warmth, redness, or tingly feeling under your skin",1
"itching, dry skin",1
sweating or chills,1
"nausea, diarrhea, belching, gas",1
"muscle pain, leg cramps",1
"swelling of your face, lips, tongue, or throat. Welchol may cause serious side effects. Stop using Welchol and call your doctor at once if you have: severe constipation",1
"or pancreatitis--severe pain in your upper stomach spreading to your back, nausea and vomiting . Common side effects of Welchol may include: constipation",1
